freq_THz,Re_S11,Im_S11,Re_S21,Im_S21
17.732560,-1.07757140e-01,9.42579920e-02,-6.55353775e-01,-7.39399133e-01
17.755040,-1.07622013e-01,9.46982134e-02,-6.57487245e-01,-7.37460867e-01
17.777520,-1.07485255e-01,9.51384889e-02,-6.59614968e-01,-7.35516374e-01
17.800000,-1.07346861e-01,9.55788126e-02,-6.61736925e-01,-7.33565670e-01
17.822480,-1.07206832e-01,9.60191785e-02,-6.63853099e-01,-7.31608774e-01
17.844960,-1.07065165e-01,9.64595807e-02,-6.65963471e-01,-7.29645701e-01
17.867440,-1.06921859e-01,9.69000132e-02,-6.68068024e-01,-7.27676471e-01
17.889920,-1.06776911e-01,9.73404701e-02,-6.70166740e-01,-7.25701100e-01
17.912400,-1.06630321e-01,9.77809453e-02,-6.72259600e-01,-7.23719607e-01
17.934880,-1.06482087e-01,9.82214329e-02,-6.74346587e-01,-7.21732009e-01
17.957360,-1.06332208e-01,9.86619267e-02,-6.76427683e-01,-7.19738324e-01
17.979840,-1.06180681e-01,9.91024209e-02,-6.78502871e-01,-7.17738570e-01
18.002320,-1.06027505e-01,9.95429094e-02,-6.80572132e-01,-7.15732765e-01
18.024800,-1.05872679e-01,9.99833861e-02,-6.82635450e-01,-7.13720926e-01
18.047280,-1.05716201e-01,1.00423845e-01,-6.84692806e-01,-7.11703072e-01
18.069760,-1.05558071e-01,1.00864280e-01,-6.86744184e-01,-7.09679222e-01
18.092240,-1.05398286e-01,1.01304685e-01,-6.88789565e-01,-7.07649391e-01
18.114720,-1.05236845e-01,1.01745055e-01,-6.90828933e-01,-7.05613600e-01
18.137200,-1.05073747e-01,1.02185382e-01,-6.92862269e-01,-7.03571867e-01
18.159680,-1.04908990e-01,1.02625661e-01,-6.94889558e-01,-7.01524208e-01
18.182160,-1.04742574e-01,1.03065886e-01,-6.96910780e-01,-6.99470643e-01
18.204640,-1.04574496e-01,1.03506050e-01,-6.98925921e-01,-6.97411191e-01
18.227120,-1.04404756e-01,1.03946148e-01,-7.00934961e-01,-6.95345869e-01
18.249600,-1.04233352e-01,1.04386174e-01,-7.02937885e-01,-6.93274695e-01
18.272080,-1.04060283e-01,1.04826121e-01,-7.04934675e-01,-6.91197689e-01
18.294560,-1.03885549e-01,1.05265983e-01,-7.06925314e-01,-6.89114868e-01
18.317040,-1.03709147e-01,1.05705754e-01,-7.08909786e-01,-6.87026252e-01
18.339520,-1.03531076e-01,1.06145428e-01,-7.10888073e-01,-6.84931859e-01
18.362000,-1.03351337e-01,1.06584999e-01,-7.12860159e-01,-6.82831707e-01
18.384480,-1.03169926e-01,1.07024460e-01,-7.14826028e-01,-6.80725816e-01
18.406960,-1.02986844e-01,1.07463806e-01,-7.16785661e-01,-6.78614203e-01
18.429440,-1.02802089e-01,1.07903030e-01,-7.18739044e-01,-6.76496888e-01
18.451920,-1.02615661e-01,1.08342126e-01,-7.20686159e-01,-6.74373890e-01
18.474400,-1.02427557e-01,1.08781088e-01,-7.22626989e-01,-6.72245227e-01
18.496880,-1.02237778e-01,1.09219910e-01,-7.24561519e-01,-6.70110918e-01
18.519360,-1.02046322e-01,1.09658585e-01,-7.26489732e-01,-6.67970983e-01
18.541840,-1.01853189e-01,1.10097107e-01,-7.28411611e-01,-6.65825440e-01
